来源	文件	位置	原文	参考译文	填写中文	长度状态
UI	lang0.pak	DST_DOJO_ADD_TENKAI_SEED	"[align = ""center""][font size = ""12"" color=""f4d762""]Tournament Players[/font][br][br][font size = ""10"" color=""269eff""]Players who prove to be the best.[br]Will go to the 32 qualification spots[br]Fight to Qualify.[/font][br][br][font size = ""10"" color=""ffffff""]All players[br]Check the following:[/font][br][br][font size = ""10"" color=""f36a7c""]This is the best Tournament[br]in the world.[/font][br][br][font size = ""10"" color=""ffffff""]So you better make sure[br]You're here![/font]"			
UI	lang0.pak	DST_DOJO_ASK_ESTABLISHMENT	"[align = ""center""][font size = ""12"" color=""f4d762""]Dojo Creation[/font][br][br][font size = ""10"" color=""269eff""]Dojo Creation[br]The members in the Dojo[br]are responsible to[br]keep the Dojo safe.[br][br]When the Dojo is made[br]you get special content and benefits.[/font][br][br][font size = ""10"" color=""ffffff""]To get a Dojo:[/font][br][br][font size = ""10"" color=""f36a7c""]Dojo Ownership[br](buy with points)[/font][br][br][font size = ""10"" color=""ffffff""]Buy a Dojo?[/font]"			
UI	lang0.pak	DST_DOJO_ASK_SCRAMBLE	Dojo Scramble			
UI	lang0.pak	DST_DOJO_ASK_UPGRAGE_WITH_ZENNY	"[align = ""center""][font size = ""12"" color=""f4d762""]Dojo Upgrade[/font][br][br][font size = ""10"" color=""269eff""]Upgrade Dojo[br]If management upgrade[br]You can add special features[/font][br][br][font size = ""10"" color=""ffffff""]Click ok to pay[/font][br][br]font size = ""10"" color=""f36a7c""]Zeni: %s[/font][br][br][font size = ""10"" color=""ffffff""]Upgrade Dojo?[/font]"			
UI	lang0.pak	DST_DOJO_ASK_UPGRAGE_WITH_ZENNY_AND_HOIPOI	"[align = ""center""][font size = ""12"" color=""f4d762""]Dojo Upgrade[/font][br][br][font size = ""10"" color=""269eff""]Upgrade Dojo[br]If management upgrade[br]You can add special features.[/font][br][br][font size = ""10"" color=""ffffff""]Click ok to use the item.[/font][br][br][font size = ""10"" color=""f36a7c""]Zeni: %s [br]Items : HoiPoi %d [/font][br][br][font size = ""10"" color=""ffffff""]Upgrade Dojo?[/font]"			
UI	lang0.pak	DST_DOJO_BATTLE_APPLICATION_FOR_BATTLE	Apply			
UI	lang0.pak	DST_DOJO_BATTLE_DUEL_DEFFENCE_PLAYER	Def			
UI	lang0.pak	DST_DOJO_BATTLE_DULE_OFFENCE_PLAYER	Duel			
UI	lang0.pak	DST_DOJO_BATTLE_SCRAMBLE_OFFENCE_PLAYER	Scramble			
UI	lang0.pak	DST_DOJO_CAN_NOT_UPGRADE_BECAUSE_MAX_LEVEL	Max Level			
UI	lang0.pak	DST_DOJO_CAN_NOT_UPGRADE_BECAUSE_NEED_ITEM	Need Item			
UI	lang0.pak	DST_DOJO_CAN_NOT_UPGRADE_BECAUSE_NEED_MORE_ITEM	Need More Items			
UI	lang0.pak	DST_DOJO_HAVE_NOT_DOJO	No Dojo			
UI	lang0.pak	DST_DOJO_INFO	Dojo Info			
UI	lang0.pak	DST_DOJO_INFO_BATTLE	Battle			
UI	lang0.pak	DST_DOJO_INFO_CITY_NAME	City name			
UI	lang0.pak	DST_DOJO_INFO_DOJO_INFO	Dojo Info			
UI	lang0.pak	DST_DOJO_INFO_DOJO_LEVEL	Dojo Lv.			
UI	lang0.pak	DST_DOJO_INFO_DOJO_NAME	Dojo Name			
UI	lang0.pak	DST_DOJO_INFO_GUILD_NAME	Guild Name			
UI	lang0.pak	DST_DOJO_INFO_GUILD_NOTICE	Guild Note			
UI	lang0.pak	DST_DOJO_INFO_GUILD_POINT	Guild Point			
UI	lang0.pak	DST_DOJO_INFO_INFO	Info			
UI	lang0.pak	DST_DOJO_INFO_NOTICE_INPUT	Note in			
UI	lang0.pak	DST_DOJO_INFO_PUBLIC_SECURITY	Status			
UI	lang0.pak	DST_DOJO_INFO_SET_TENKAI_SEED_PLAYER	Seed Exhibitors			
UI	lang0.pak	DST_DOJO_INFO_TENKAI_SEED_PLAYER	Exhibitors			
UI	lang0.pak	DST_DOJO_LOST_DOJO	%s Guild %s took ownership of the Dojo.			
UI	lang0.pak	DST_DOJO_LOST_DOJO_COLOR	Uniform color reset.			
UI	lang0.pak	DST_DOJO_NAME	Name			
UI	lang0.pak	DST_DOJO_NEED_GUILD_POINT	Need Points			
UI	lang0.pak	DST_DOJO_NEED_ITEM	Need Item			
UI	lang0.pak	DST_DOJO_NEED_ZENNY	Need Zeni			
UI	lang0.pak	DST_DOJO_ONLY_REGISTER_ITEM	Can't register.			
UI	lang0.pak	DST_DOJO_ONLY_REGI_BAG_ZENNY	Only for Zeni.			
UI	lang0.pak	DST_DOJO_PEACE_STATE_COMMON	Normal			
UI	lang0.pak	DST_DOJO_PEACE_STATE_FEAR	Fear			
UI	lang0.pak	DST_DOJO_PEACE_STATE_FESTIVAL	Festive			
UI	lang0.pak	DST_DOJO_PEACE_STATE_PANIC	Panic			
UI	lang0.pak	DST_DOJO_PEACE_STATE_QUIET	Quiet			
UI	lang0.pak	DST_DOJO_REJECT_SCRAMBLE	Dojo Scramble Reject			
UI	lang0.pak	DST_DOJO_REWARD_GUILD_REPUTATION	Victory %d Guild has %u Points earned			
UI	lang0.pak	DST_DOJO_REWARD_ITEM	Victory: %s Items %d earned			
UI	lang0.pak	DST_DOJO_REWARD_NPC_NARRATION	"[font size = ""13"" color = ""000000""]If you win items, I will put them in the guild bank!"			
UI	lang0.pak	DST_DOJO_RUN_UPGRADE	Upgrade			
UI	lang0.pak	DST_DOJO_SCRAMBLE	Dojo Scramble			
UI	lang0.pak	DST_DOJO_SCRAMBLE_ACCEPT_CHALLENGE	"[align = ""center""][font size = ""12"" color=""f4d762""]Scramble Request[/font][br][br][font size = ""10"" color=""269eff""]%s Challenge from Dojo[br][br]Accept the challenge to prove your worth[br]Fight for the Dojo's fate[br]If you Reject[br]You can't win any Zeni.[/font][br][br][font size = ""10"" color=""ffffff""]Required[/font][br][br][font size = ""10"" color=""f36a7c""]Zeni: %s[/font][br][br][font size = ""10"" color=""ffffff""]Accept Challenge?[/font]"			
UI	lang0.pak	DST_DOJO_SCRAMBLE_ACCEPT_CHALLENGE_CANCEL_BTN	Cancel			
UI	lang0.pak	DST_DOJO_SCRAMBLE_ASK_CHALLENGE	"[align = ""center""][font size = ""12"" color=""f4d762""]Dojo Scramble[/font][br][br][font size = ""10"" color=""269eff""]Dojo Players[br]will send a challenge.[br]When the challenge is accepted[br]you'll have to fight.[br][br]When you send a challenge[br]You must win[br]Or be ready to laughed at[br]Know your enemy![/font][br][br][font size = ""10"" color=""ffffff""]Matches for Zeni[br](Match might be rejected.)[/font][br][br][font size = ""10"" color=""f36a7c""]Zeni: %s[/font][br][br][font size = ""10"" color=""ffffff""]Send Challenge?[/font]"			
UI	lang0.pak	DST_DOJO_SCRAMBLE_ASK_TELEPORT	"[align = ""center""][font size = ""12"" color=""f4d762""]Join Dojo Scramble[/font][br][br][font size = ""10"" color=""269eff""]It's time to fight[br]Go to the ring[br]Tension Control check.[br]Tension control used.[/font][br][br][font size = ""10"" color=""ffffff""]Fight rules:[/font][br][br][font size = ""10"" color=""f4d762""]Win : get up to 500 points[br][br]1 Learn how to fight[/font][br][font size = ""10"" color=""ffffff""]+2 points if dojo imprint acquisition[/font][br][br][font size = ""10"" color=""f4d762""]2 points to go[/font][br][font size = ""10"" color=""ffffff""]Tension Points 300 bet +8[/font][br][br][font size = ""10"" color=""f4d762""]Tension points[/font][br][font size = ""10"" color=""ffffff""]1 or 2 Tension Points[/font][br][br][font size = ""10"" color=""f36a7c""]Can't create a party in a fight[/font][br][br][font size = ""10"" color=""ffffff""]Go to the fight?[/font]"			
UI	lang0.pak	DST_DOJO_SCRAMBLE_CHANGE_SEAL_OWNER	%s captured %s!			
UI	lang0.pak	DST_DOJO_SCRAMBLE_ENTER	Enter			
UI	lang0.pak	DST_DOJO_SCRAMBLE_GUILD_MEMBER_COUNT	Members			
UI	lang0.pak	DST_DOJO_SCRAMBLE_NO_OWNER_SEAL	No Logo			
UI	lang0.pak	DST_DOJO_SCRAMBLE_OTHER_GUILD_SEAL	Other Logo			
UI	lang0.pak	DST_DOJO_SCRAMBLE_OUR_GUILD_SEAL	Our Logo			
UI	lang0.pak	DST_DOJO_SCRAMBLE_OWNER_SEAL_COUNT	Logo			
UI	lang0.pak	DST_DOJO_SCRAMBLE_REWARD_ITEM	Items			
UI	lang0.pak	DST_DOJO_SCRAMBLE_REWARD_REPUTATION	Points			
UI	lang0.pak	DST_DOJO_SCRAMBLE_RULE	"[font size=""11""color=""FFFF33""]1. 5 to 500 points to start![br][br]2. 1 hour to beat the best score![br][br]3. But, whoever survives wins!"			
UI	lang0.pak	DST_DOJO_SCRAMBLE_RULE_TITLE	Fight to win			
UI	lang0.pak	DST_DOJO_SCRAMBLE_STATE_END	Fight End!			
UI	lang0.pak	DST_DOJO_SCRAMBLE_STATE_INITIAL	Prepare to fight			
UI	lang0.pak	DST_DOJO_SCRAMBLE_STATE_NORMAL	Today %dh %dmin Dojo Scramble			
UI	lang0.pak	DST_DOJO_SCRAMBLE_STATE_NORMAL2	Today %d point for Dojo Scramble			
UI	lang0.pak	DST_DOJO_SCRAMBLE_STATE_READY	Get Ready			
UI	lang0.pak	DST_DOJO_SCRAMBLE_STATE_RECEIVE	Dojo War Scramble:\nRequest possible			
UI	lang0.pak	DST_DOJO_SCRAMBLE_STATE_REJECT_END	Dojo Scramble Rejected			
UI	lang0.pak	DST_DOJO_SCRAMBLE_STATE_STANDBY	standby: fight starting			
UI	lang0.pak	DST_DOJO_SCRAMBLE_STATE_START	Fight started!			
UI	lang0.pak	DST_DOJO_SCRAMBLE_TITLE	Scramble			
UI	lang0.pak	DST_DOJO_SUCCESS_ADDITION_TENKAI_SEED	"[align = ""center""][font size = ""12"" color=""f4d762""]Player Info[/font][br][br][font size = ""10"" color=""269eff""]%s Qualified[br]Good luck in the Tournament.[/font]"			
UI	lang0.pak	DST_DOJO_SUCCESS_ESTABLISHMENT_TO_MASTER	"[align = ""center""][font size = ""12"" color=""f4d762""]Dojo[/font][br][br][font size = ""10"" color=""269eff""]created.[/font][br][br][font size = ""10"" color=""f4d762""]%s Created.[/font] "			
UI	lang0.pak	DST_DOJO_SUCCESS_ESTABLISHMENT_TO_MEMBER	%s Created.			
UI	lang0.pak	DST_DOJO_UPGRADE	Upgrade			
UI	lang0.pak	DST_DOJO_UPGRADE_CONSUMPTION_GUILD_POINT	Got			
UI	lang0.pak	DST_DOJO_UPGRADE_CONSUMPTION_ZENNY	Current Zeni			
UI	lang0.pak	DST_DOJO_UPGRADE_CURENT_LEVEL_0	Lv.1			
UI	lang0.pak	DST_DOJO_UPGRADE_CURENT_LEVEL_1	Lv.2			
UI	lang0.pak	DST_DOJO_UPGRADE_CURENT_LEVEL_2	Lv.3			
UI	lang0.pak	DST_DOJO_UPGRADE_CURENT_LEVEL_3	Lv.4:Update			
UI	lang0.pak	DST_DOJO_UPGRADE_CURENT_LEVEL_4	Lv.5			
UI	lang0.pak	DST_DOJO_UPGRADE_CURENT_LEVEL_5	Lv.6:Update			
UI	lang0.pak	DST_DOJO_UPGRADE_CURENT_LEVEL_6	Lv.7			
UI	lang0.pak	DST_DOJO_UPGRADE_CURENT_LEVEL_7	Lv.8:Update			
UI	lang0.pak	DST_DOJO_UPGRADE_NEED_ITEM	Upgrade Stone			
UI	lang0.pak	DST_DOJO_UPGRADE_NEXT_LEVEL_1	Next Lv.2			
UI	lang0.pak	DST_DOJO_UPGRADE_NEXT_LEVEL_2	Next Lv.3			
UI	lang0.pak	DST_DOJO_UPGRADE_NEXT_LEVEL_3	Next Lv.4			
UI	lang0.pak	DST_DOJO_UPGRADE_NEXT_LEVEL_4	Next Lv.5			
UI	lang0.pak	DST_DOJO_UPGRADE_NEXT_LEVEL_5	Next Lv.6			
UI	lang0.pak	DST_DOJO_UPGRADE_NEXT_LEVEL_6	Next Lv.7			
UI	lang0.pak	DST_DOJO_UPGRADE_NEXT_LEVEL_7	Next Lv.8			
UI	lang0.pak	DST_DO_EMPTY_CAPSULEKIT	First empty Capsule kit.			
UI	lang0.pak	DST_DRAGONBALLSCRAMBLE_FOR_BASIC_BENEFIT	Maximum LP increase by: %d%%  [DBS]			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_ALREADY_JOIN	Already joined Scramble			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CAN_NOT_TRADE_TARGET	Can't trade Dragon Ball			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CHANNEL_INFO	Dragon Ball Scramble Event!			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_CANCEL	Cancel			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_DROP_1	Fainted			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_DROP_2	Teleport or Exit			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_DROP_3	PK Impossible to Enter			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_DROP_TITLE	Losing			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_GET_1	Dropped To pick up			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_GET_2	Call Dragon			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_GET_3	Spiked with Item			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_GET_TITLE	Scramble!			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_OK	App.			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_TITLE	Dragon Ball Scramble App.			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_WARNING_TITLE	Note!			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_CONFIRM_WARNINR	1)No Bus. 2)Not Ranked.			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_DROP_MSG	Dragon Ball Lost!!			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_FAINT_DROP_MSG	You have Fainted			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_GAIN_BUDOJI_MILEAGE	Earned %d Mudosa			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_I_AM_NOT_PLAYER	Not Scramble Participant			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_I_AM_PLAYER	Scramble Participant			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_JOIN_CONFIRM_MSGBOX	"[align = ""center""][font size=""12""color=""f4d762""]Join Dragon Ball Scramble[/font][br][br][font size=""10""color=""269eff""]Note: You can't exit Dragon Ball Scramble until it's over.[/font]"			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_JOIN_MSGBOX	"[align = ""center""]Dragon Ball Scramble[br][br]join?"			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_LOOT_BATTLE_DRAGONBALL	Earned %d Dragon Ball			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_PARTY_LEAVE	Left Party			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_READY_FOR_JOIN_RES	Ready, Waiting response			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_RETURN_MSG	Can't join Dragon Ball scramble			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_SEASON_BEGIN_NFY	Dragon Ball Scramble Event Started			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_SEASON_END_NFY	Dragon Ball Scramble Event End			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_SEASON_REWARD_COOLTIME_NFY	Battle Dragon Ball turned into a stone, you won't receive compensation			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_SEASON_REWARD_LIMIT_OVER_NFY	"[align = ""center""]Dragon Ball Scramble Info[br][br]Scramble full[br]no compensation in this channel"			
UI	lang0.pak	DST_DRAGONBALL_SCRAMBLE_TOOLTIP	%d Star Battle Dragon Ball			
UI	lang0.pak	DST_DRGONBALL_SCRAMBLE_SEASON_REFRESH_NFY	Battle Dragon Ball have been compensated			
UI	lang0.pak	DST_DROPITEM_ZENNY	%s Zeni			
UI	lang0.pak	DST_DUALDST_GUN	Dual Gun			
UI	lang0.pak	DST_DUNGEON_DIRECT_ENTER	Enter			
UI	lang0.pak	DST_DWC_CARDCOUNT	Card Count			
UI	lang0.pak	DST_DWC_CARD_CLEAR_TOOLTIP	Current available attacks			
UI	lang0.pak	DST_DWC_CARD_GRADE	Card Grade			
UI	lang0.pak	DST_DWC_CARD_GRADE_00	ALL			
UI	lang0.pak	DST_DWC_CARD_GRADE_01	Common			
UI	lang0.pak	DST_DWC_CARD_GRADE_02	Uncommon			
UI	lang0.pak	DST_DWC_CARD_GRADE_03	Unique			
UI	lang0.pak	DST_DWC_CARD_GRADE_04	Rare			
UI	lang0.pak	DST_DWC_CARD_GRADE_05	Legendary			
UI	lang0.pak	DST_DWC_CARD_TARGET_TOOLTIP	Attack			
UI	lang0.pak	DST_DWC_CHOOSE_TITLE	Select Target			
UI	lang0.pak	DST_DWC_CLEAR_CARD_TOOLTIP	Confirm access to the card			
UI	lang0.pak	DST_DWC_CONDITION	Target Condition			
UI	lang0.pak	DST_DWC_CONDITION_RB_STRAIGHTWIN	%d Streak			
UI	lang0.pak	DST_DWC_CONDITION_STATE	Condition Status			
UI	lang0.pak	DST_DWC_ENTER_CONDITION	Entrance Conditions			
UI	lang0.pak	DST_DWC_ENTER_CONFIRM	"[align = ""center""]Dragon World Challenge (DWC) Entry[br][br]Remaining # of entries this week: %d[br][br]You can't withdraw.[br]Do you want to enter?[br]"			
UI	lang0.pak	DST_DWC_ENTER_QUESTION	"[br][align = ""center""][font size = ""10"" color=""f4d762""]DWC Admission[/font][br][br][font size = ""10"" color=""269eff""]You can play %d more times today[/font][br][br][font size = ""10"" color=""f4d762""]Would you like to play?[/font][br]"			
UI	lang0.pak	DST_DWC_ESSENTIAL_TITLE	Goal Required			
UI	lang0.pak	DST_DWC_FIELD_ENTER	DWC Entry Status			
UI	lang0.pak	DST_DWC_FIELD_ENTER_COMMAND	Enter DWC			
UI	lang0.pak	DST_DWC_GRADE	Rating			
UI	lang0.pak	DST_DWC_GRADE_TOOLTIP	Select a card.			
UI	lang0.pak	DST_DWC_HERO_TITLE	Hero Info			
UI	lang0.pak	DST_DWC_INFO_COMMAND	DWC Info			
UI	lang0.pak	DST_DWC_MAIN_TITLE	Dragon World Challenge			
UI	lang0.pak	DST_DWC_PLAYER_COUNT	Player Count			
UI	lang0.pak	DST_DWC_PLAYER_COUNT_TEXT	%d ~ %d players			
UI	lang0.pak	DST_DWC_PLAYLEVEL	Level %d and above			
UI	lang0.pak	DST_DWC_PLAY_LEVEL	Difficulty Level			
UI	lang0.pak	DST_DWC_PROLOG_TITLE	Prolog			
UI	lang0.pak	DST_DWC_REPEAT_REWARD	Repeat Rewards			
UI	lang0.pak	DST_DWC_REWARD	Reward			
UI	lang0.pak	DST_DWC_SCENARIOINFO_TITLE	Scenario Info			
UI	lang0.pak	DST_DWC_SCENARIO_CONDITION_TITLE	Entry Details			
UI	lang0.pak	DST_DWC_SCENARIO_LIST	DWC Scenario List			
UI	lang0.pak	DST_DWC_SCENARIO_TOOLTIP	Select the plot and organize relevant cards.			
UI	lang0.pak	DST_DWC_SIDE_VIEW	DWC Completed. Press V to open the main menu.			
UI	lang0.pak	DST_DWC_STATE_CLEAR	End			
UI	lang0.pak	DST_DWC_STATE_LOCK	Locked			
UI	lang0.pak	DST_DWC_STATE_OPEN	Under Attack			
UI	lang0.pak	DST_DWC_STATE_PLAY	Attack			
UI	lang0.pak	DST_DWC_STATE_TOOLTIP	Select the card to attack the state and organize.			
UI	lang0.pak	DST_DWC_STATUS	Status			
UI	lang0.pak	DST_DWC_TARGET	Target			
UI	lang0.pak	DST_DWC_TARGET_TITLE	Target Goal			
UI	lang0.pak	DST_DWC_TITLE	Dragon World Challenge			
UI	lang0.pak	DST_DYNAMIC_FIELD_SIDEVIEW_BOSSKILLTIME	%d hour %d minute			
UI	lang0.pak	DST_DYNAMIC_FIELD_SIDEVIEW_CONTENT_01	At 100% the BOSS will appear!			
UI	lang0.pak	DST_DYNAMIC_FIELD_SIDEVIEW_CONTENT_02	After 2h the Boss disappear.			
UI	lang0.pak	DST_DYNAMIC_FIELD_SIDEVIEW_CONTENT_03	A NPC appear after success.			
UI	lang0.pak	DST_DYNAMIC_FIELD_SIDEVIEW_CONTENT_04	Click the icon for the quest!			
UI	lang0.pak	DST_DYNAMIC_FIELD_SIDEVIEW_CONTENT_05	Quest activated.			
UI	lang0.pak	DST_DYNAMIC_FIELD_SIDEVIEW_CONTENT_06	Only you can Defeat the Boss.			
UI	lang0.pak	DST_DYNAMIC_FIELD_SIDEVIEW_PERCENTAGE	%s%%			
UI	lang0.pak	DST_DYNAMIC_FIELD_SIDEVIEW_TITLE_01	Boss Monster emerges			
UI	lang0.pak	DST_DYNAMIC_FIELD_SIDEVIEW_TITLE_02	Eliminate BOSS monster			
UI	lang0.pak	DST_DYNAMIC_FIELD_SIDEVIEW_TITLE_03	Monster emerges			
UI	lang0.pak	DST_DYNAMIC_FIELD_SIDEVIEW_TITLE_04	Progress			
UI	lang0.pak	DST_ENABLE	Available			
UI	lang0.pak	DST_ENGINEER	Engineer			
UI	lang0.pak	DST_ERROR_DUPLICATE_NAME	[%s]Already Exists.			
UI	lang0.pak	DST_ERROR_NO_USE_BY_PARTY_MEMBER	Party status unavailable.			
UI	lang0.pak	DST_ERROR_RENAME_PENALTY_PERIOD	Penalty: %d remain			
UI	lang0.pak	DST_ERROR_WRONG_NAME	[%s]Unavailable.			
UI	lang0.pak	DST_EVENTMACHINE_SIDEICON_TOOLTIP	Event Machine ( Event Coin X %d )			
UI	lang0.pak	DST_EVENT_ITEM	Event Items			
UI	lang0.pak	DST_EVENT_MACHINE_NAME	Event Machine %d			
UI	lang0.pak	DST_EVENT_TIME_TABLE_TITLE	Event Time			
UI	lang0.pak	DST_EXP_AUTO_RECOVER_ARRAY	Remaining Experience Points %s			
UI	lang0.pak	DST_EXP_AUTO_RECOVER_COMMENT	Every %d seconds pet earns %d EXP			
UI	lang0.pak	DST_EXP_INFO	EXP: %d / %d			
UI	lang0.pak	DST_FINISHED_MONSTER	%s finished			
UI	lang0.pak	DST_FREEPVP_CANT_WITH_BLACKLIST	Can't Duel Blacklisted Player.			
UI	lang0.pak	DST_FREEPVP_CHALLENGE	"[align = ""center""][font size = ""12"" color=""f4d762""]Duel Request[/font][br][br][font size = ""10"" color=""269eff""]You are being challenged[br]to a Duel.[/font][br][br][font size = ""10"" color=""f4d762""]Challenger: %s[/font][br][br][font size = ""10"" color=""ffffff""]Accept Challenge?[/font]"			
UI	lang0.pak	DST_FREEPVP_DRAW	It's a draw!			
UI	lang0.pak	DST_FREEPVP_LOSE	%s lost the duel.			
UI	lang0.pak	DST_FREEPVP_OUTSIDE_STAGE	%d Seconds until you give up.			
UI	lang0.pak	DST_FREEPVP_WIN	%s won the duel.			
UI	lang0.pak	DST_FRIDAY	Friday			
UI	lang0.pak	DST_GAMBLE_COMMAND	Draw			
UI	lang0.pak	DST_GAMBLE_GUIDE	To play you need: \n- %u Mudosa Points \n- 10,000 Zeni			
UI	lang0.pak	DST_GAMBLE_GUIDE_RESULT	Capsule Earned			
UI	lang0.pak	DST_GAMBLE_GUIDE_ZENNY	%s Zeni, to get a capsule			
UI	lang0.pak	DST_GAMBLE_NOT_ENOUGH_MUDOSA_POINT	Need Mudosa Points			
UI	lang0.pak	DST_GAME_EXIT	"[align = ""center""][font size=""12""color=""f4d762""]Exit Game[/font][br][br][font size=""10""color=""269eff""]Do you wish to exit DBO?[/font][br][font size=""10""color=""ffffff""]Thanks for playing[br]Dragon Ball Online![/font]"			
UI	lang0.pak	DST_GAME_PARTY_CANT_INVITE_TARGET_SANDBAG	HTB is used, can't invite now			
UI	lang0.pak	DST_GAME_PARTY_CANT_JOIN_TARGET_SANDBAG	HTB is used, can't join the state			
UI	lang0.pak	DST_GAME_SERVER_CONNECT_FAIL	"[align = ""center""]Connection Failed[br][br]Failed to connect to game servers[br][br]Try again later."			
UI	lang0.pak	DST_GET	Get			
UI	lang0.pak	DST_GIFT_SHOP_MAX_WP	WP's maximum value is 2000.			
UI	lang0.pak	DST_GIFT_SHOP_SIDE_ICON_TOOLTIP	Current QP-Points %d			
UI	lang0.pak	DST_GIFT_SHOP_TITLE_NAME	Quest Point Shop			
UI	lang0.pak	DST_GLOVE	Gloves			
UI	lang0.pak	DST_GMT_APPLY_END_NOTICE	%s Period has Ended			
UI	lang0.pak	DST_GMT_APPLY_GUIDE	Starts next Day			
UI	lang0.pak	DST_GMT_APPLY_START_NOTICE	%s Period has Started			
UI	lang0.pak	DST_GMT_APPLY_TIME	Apply Time			
UI	lang0.pak	DST_GMT_CANT_RESET	Can't reset.			
UI	lang0.pak	DST_GMT_CHANGE_TIME	Change Time			
UI	lang0.pak	DST_GMT_DONOT_CHECK_ALL	Please set EXP and Zeni Bonus			
UI	lang0.pak	DST_GMT_ENABLE_CHECK_COUNT	Count Check: %d			
UI	lang0.pak	DST_GMT_EXP_FOR_BENEFIT	%u%% EXP Bonus [%02d:00 - %02d:00]			
UI	lang0.pak	DST_GMT_EXT_GET	Bonus Selection			
UI	lang0.pak	DST_GMT_LIST_EXP	%u%% EXP Bonus			
UI	lang0.pak	DST_GMT_LIST_ZENNY	%u%% Zeni Bonus			
UI	lang0.pak	DST_GMT_NO_TIME	No Time			
UI	lang0.pak	DST_GMT_PROFILE	Select which Bonus Option you would like to\nreceive.			
UI	lang0.pak	DST_GMT_REMAIN_COUNT	GMT Resets left: %d			
UI	lang0.pak	DST_GMT_RESET	Reset			
UI	lang0.pak	DST_GMT_RESET_ALREADY_OPEN	Window is already Opened			
UI	lang0.pak	DST_GMT_RESET_COUNT_OVER	Number of Hours Exceeded			
UI	lang0.pak	DST_GMT_RESET_TITLE	Set Time			
UI	lang0.pak	DST_GMT_TIME_INFO	%2d:00			
UI	lang0.pak	DST_GMT_TITLE	Bonus Times			
UI	lang0.pak	DST_GMT_TITLE_EXP	Bonus EXP			
UI	lang0.pak	DST_GMT_TITLE_ZENNY	Bonus Zeni			
UI	lang0.pak	DST_GMT_ZENNY_FOR_BENEFIT	%u%% Zeni Bonus [%02d:00 - %02d:00]			
UI	lang0.pak	DST_GUARD_GAUGE_CANNOT_USE	Guard is in cooldown			
UI	lang0.pak	DST_GUARD_GAUGE_CAN_USE	Can Use Guard			
UI	lang0.pak	DST_GUN	Gun			
UI	lang0.pak	DST_GUN_MANIA	Gun Maniac			
UI	lang0.pak	DST_HELPWND_GOLIST	Jump To			
UI	lang0.pak	DST_HELPWND_HELPCONTENTS	Contents			
UI	lang0.pak	DST_HELPWND_PETITION_TO_GM	GM Help			
UI	lang0.pak	DST_HELPWND_TITLE	Help			
UI	lang0.pak	DST_HELPWND_TOP_TITLE	Dragon Ball Online Guide			
UI	lang0.pak	DST_HLS_ALREADY_CONFIRM	Confirmation Already Opened			
UI	lang0.pak	DST_HLS_ALREADY_GIFT	Gift Window Already Open			
UI	lang0.pak	DST_HLS_CANT_SEARCH_IN_CURRENT_TAB	You can't search on this tab.			
UI	lang0.pak	DST_HLS_CASHCHARGE	Charge			
UI	lang0.pak	DST_HLS_CONFIRM_BTN_BUY	Buy			
UI	lang0.pak	DST_HLS_CONFIRM_BTN_CANCEL	Cancel			
UI	lang0.pak	DST_HLS_CONFIRM_BTN_CASHCHARGE	Charge			
UI	lang0.pak	DST_HLS_CONFIRM_BUY_TITLE	Confirm Purchase			
