source_text_sample	source_hash	occurrences	surface_count	surfaces	locations	manual_translations
Teleport	f9f57d40683e	9	2	lang0,tbl	lang0:lang0.pak:DST_MULTIDIALOG_MENU_PORTAL | lang0:lang0.pak:DST_QUICK_TELEPORT | tbl:tbl1.pak:0x017F2A80 | tbl:tbl1.pak:0x0179905F | tbl:tbl1.pak:0x0179907D | tbl:tbl1.pak:0x0179909B | tbl:tbl1.pak:0x017BAFAD | tbl:tbl1.pak:0x017BB04B | tbl:tbl1.pak:0x017BB0E9	
Auction House	4dcdd7d31d86	8	2	lang0,tbl	lang0:lang0.pak:DST_HUD_REMOTE_AUCTION_TOOLTIP | lang0:lang0.pak:DST_MARKET_CONSOLE_MACHINE | lang0:lang0.pak:DST_MARKET_TITLE | tbl:tbl1.pak:0x0186C09C | tbl:tbl1.pak:0x0181CF41 | tbl:tbl1.pak:0x0181CF61 | tbl:tbl1.pak:0x0181CF81 | tbl:tbl1.pak:0x0181CFA1	拍卖行 [lang0:lang0.pak:DST_MARKET_CONSOLE_MACHINE] | 拍卖行 [lang0:lang0.pak:DST_MARKET_TITLE]
Skill Reset Book+	d0a71221165b	8	2	lang0,tbl	lang0:lang0.pak:DST_MARKET_FORGET_BOOKPLUS | tbl:tbl1.pak:0x0135235B | tbl:tbl1.pak:0x0135337D | tbl:tbl1.pak:0x013575B9 | tbl:tbl1.pak:0x01357827 | tbl:tbl1.pak:0x015C129F | tbl:tbl1.pak:0x015D6907 | tbl:tbl1.pak:0x01661145	技能重置书+ [lang0:lang0.pak:DST_MARKET_FORGET_BOOKPLUS]
Transportation	145a070a5177	8	2	lang0,tbl	lang0:lang0.pak:DST_JOB_BUS | tbl:tbl1.pak:0x016C368E | tbl:tbl1.pak:0x016C3ED8 | tbl:tbl1.pak:0x016C4476 | tbl:tbl1.pak:0x016C49B4 | tbl:tbl1.pak:0x016C5624 | tbl:tbl1.pak:0x016C6928 | tbl:tbl1.pak:0x016C982A	
Vending Machine	30b30f0dd0a1	8	2	lang0,tbl	lang0:lang0.pak:DST_JOB_VENDING_MACHINE | lang0:lang0.pak:DST_WORLDMAP_SEARCH_NPC_ITEMBIND | tbl:tbl1.pak:0x01715048 | tbl:tbl1.pak:0x017369DC | tbl:tbl1.pak:0x01736A00 | tbl:tbl1.pak:0x01736A24 | tbl:tbl1.pak:0x01736A48 | tbl:tbl1.pak:0x01736A6C	
Dojo	2dd1f883527b	7	2	lang0,taiwan	taiwan:local_data.dat:DST_DOJO | lang0:lang0.pak:DST_BUDOKAI_NEWS_NOTICE_GUIDE_DOJO_TITLE | lang0:lang0.pak:DST_DOJO | lang0:lang0.pak:DST_GUILD_GYM | lang0:lang0.pak:DST_MARKET_DOJO | lang0:lang0.pak:DST_TELEPORT_TYPE_DOJO | lang0:lang0.pak:DST_WORLDMAP_SEARCH_NPC_DOJO	道场 [lang0:lang0.pak:DST_MARKET_DOJO] | 道场 [lang0:lang0.pak:DST_GUILD_GYM]
Fusion	cdf2e5fcd33e	7	2	lang0,tbl	lang0:lang0.pak:DST_MASCOTEX_FUTIONTITEL | tbl:tbl1.pak:0x0178DC8B | tbl:tbl1.pak:0x017992AB | tbl:tbl1.pak:0x0179FF19 | tbl:tbl1.pak:0x017A5331 | tbl:tbl1.pak:0x017AA691 | tbl:tbl1.pak:0x017B0DC7	
Legendary	b7e8916505bf	7	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_DWC_CARD_GRADE_05 | lang0:lang0.pak:DST_DWC_CARD_GRADE_05 | lang0:lang0.pak:DST_ITEM_GRADE_LEGENDARY | lang0:lang0.pak:DST_MARKET_LEGENDARYTYPE | lang0:lang0.pak:DST_OPTION_DROPFILTER_LEGENDARY | lang0:lang0.pak:DST_POPUPMENU_PARTY_DUNGEON_LEGENDARY | tbl:tbl1.pak:0x018631D7	传说 [taiwan:local_data.dat:DST_DWC_CARD_GRADE_05] | 传说 [lang0:lang0.pak:DST_ITEM_GRADE_LEGENDARY] | 传说 [lang0:lang0.pak:DST_OPTION_DROPFILTER_LEGENDARY] | 传说 [lang0:lang0.pak:DST_MARKET_LEGENDARYTYPE]
Shenron	ce8b56dc2927	7	2	lang0,tbl	lang0:lang0.pak:DST_SHENRON | tbl:tbl1.pak:0x0173492C | tbl:tbl1.pak:0x01734940 | tbl:tbl1.pak:0x01734954 | tbl:tbl1.pak:0x01734968 | tbl:tbl1.pak:0x0173497C | tbl:tbl1.pak:0x017146AD	
Skill Reset Book	30fd8d8ef5c6	7	2	lang0,tbl	lang0:lang0.pak:DST_MARKET_FORGET_BOOK | tbl:tbl1.pak:0x01353E39 | tbl:tbl1.pak:0x015C13CD | tbl:tbl1.pak:0x015D6A3B | tbl:tbl1.pak:0x015EAE8D | tbl:tbl1.pak:0x01661279 | tbl:tbl1.pak:0x016680D3	技能重置书 [lang0:lang0.pak:DST_MARKET_FORGET_BOOK]
Warrior	945eda39d82d	7	2	lang0,tbl	lang0:lang0.pak:DST_NAMEK_FIGHTER | lang0:lang0.pak:DST_SUPERIOR_WARRIOR | tbl:tbl0.pak:0x01397DF1 | tbl:tbl0.pak:0x0139972D | tbl:tbl1.pak:0x0186BB30 | tbl:tbl1.pak:0x01862E7D | tbl:tbl1.pak:0x01868A17	战士 [lang0:lang0.pak:DST_NAMEK_FIGHTER]
ALL	6b42874e3cd2	6	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_CARD_GRADE_00 | lang0:lang0.pak:DST_CHAT_MODE_GENERAL | lang0:lang0.pak:DST_DWC_CARD_GRADE_00 | lang0:lang0.pak:DST_MARKET_ALLCATEGORY | lang0:lang0.pak:DST_MARKET_ALLTYPE | lang0:lang0.pak:DST_SKILL_FILTER_ALL	全 [lang0:lang0.pak:DST_MARKET_ALLCATEGORY] | 全 [lang0:lang0.pak:DST_MARKET_ALLTYPE]
Change	64fbd995d3b6	6	2	lang0,tbl	lang0:lang0.pak:DST_MASCOTEX_ROLLBUTTON | lang0:lang0.pak:DST_RANKBOARD_RANKBATTLE_SUBJECT_COMPARE | tbl:tbl1.pak:0x01780EEF | tbl:tbl1.pak:0x01780F01 | tbl:tbl1.pak:0x01780F13 | tbl:tbl1.pak:0x01780F25	
Character	ee9946c82d4a	6	2	lang0,tbl	lang0:lang0.pak:DST_HLS_CONFIRM_GIFT_CHARACTER | lang0:lang0.pak:DST_MAINMENU_STATUS | lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_PROFILE | lang0:lang0.pak:DST_OPTION_CONTROL_CATEGORY_AVATAR | lang0:lang0.pak:DST_STATUS_TAB_AVATAR | tbl:tbl1.pak:0x01867329	角色 [lang0:lang0.pak:DST_STATUS_TAB_AVATAR] | 角色 [lang0:lang0.pak:DST_MAINMENU_STATUS] | 角色 [lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_PROFILE] | 角色 [lang0:lang0.pak:DST_OPTION_CONTROL_CATEGORY_AVATAR]
Charge	d4e1aee46cda	6	2	lang0,tbl	lang0:lang0.pak:DST_COMMERCIAL_REFILL_CASH | lang0:lang0.pak:DST_HLS_CASHCHARGE | lang0:lang0.pak:DST_HLS_CONFIRM_BTN_CASHCHARGE | lang0:lang0.pak:DST_MARKET_SELL_PRICE | lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_AVATAR_CHARGE | tbl:tbl1.pak:0x012CFDD6	蓄气 [lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_AVATAR_CHARGE] | 费用 [lang0:lang0.pak:DST_MARKET_SELL_PRICE]
Costume	431b1337ffb7	6	2	lang0,tbl	lang0:lang0.pak:DST_SCOUTER_PC_VIEWER_COSTUME | tbl:tbl1.pak:0x016C361C | tbl:tbl1.pak:0x016C9CFE | tbl:tbl1.pak:0x016C9DC8 | tbl:tbl1.pak:0x016C9E44 | tbl:tbl1.pak:0x0186295D	
Dragon Clan	90e503aa15f2	6	2	lang0,tbl	lang0:lang0.pak:DST_NAMEK_MYSTIC | tbl:tbl1.pak:0x016C46EE | tbl:tbl1.pak:0x016C486E | tbl:tbl1.pak:0x0186BB44 | tbl:tbl1.pak:0x01862E91 | tbl:tbl1.pak:0x01868A2B	龙族 [lang0:lang0.pak:DST_NAMEK_MYSTIC]
Pet Machine	9eb2fcf7ba2f	6	2	lang0,tbl	lang0:lang0.pak:DST_JOB_MASCOTEX_GAMBLE_MERCHANT | lang0:lang0.pak:DST_JOB_MASCOT_GAMBLE_MERCHANT | tbl:tbl1.pak:0x017278B8 | tbl:tbl1.pak:0x017278D4 | tbl:tbl1.pak:0x017278F0 | tbl:tbl1.pak:0x0172790C	
Please Wait	2cabc9d2a238	6	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_BUDOKAI_NOTICE_WAIT_GUIDE | lang0:lang0.pak:DST_PARTY_NOTIFY_WAIT_DIVISION | lang0:lang0.pak:DST_PETITION_SIDEVIEW_MESSAGE | lang0:lang0.pak:DST_RB_RESULT_WAIT_TEXT | lang0:lang0.pak:DST_BUDOKAI_NOTICE_WAIT_GUIDE | tbl:tbl0.pak:0x00D5D58D	
Resets	da1a3c80185a	6	2	lang0,taiwan	taiwan:local_data.dat:DST_STATUS_RESETS | taiwan:local_data.dat:DST_LOBBY_CHAR_RESETS | lang0:lang0.pak:DST_LOBBY_CHAR_RESETS | lang0:lang0.pak:DST_RANKBOARD_BOARD_TITLE_PVP | lang0:lang0.pak:DST_RANKBOARD_RANKBATTLE_SUBJECT_POINT | lang0:lang0.pak:DST_STATUS_RESETS	转生 [lang0:lang0.pak:DST_STATUS_RESETS] | 转生 [lang0:lang0.pak:DST_LOBBY_CHAR_RESETS]
Status	bae7d5be7082	6	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_STATUS | lang0:lang0.pak:DST_CCBD_AGREE_STATE | lang0:lang0.pak:DST_DOJO_INFO_PUBLIC_SECURITY | lang0:lang0.pak:DST_DWC_STATUS | lang0:lang0.pak:DST_LOBBY_STATE | lang0:lang0.pak:DST_STATUS_TAB_MOREINFO	状态 [lang0:lang0.pak:DST_STATUS_TAB_MOREINFO]
West City	d3c746364a12	6	2	lang0,tbl	lang0:lang0.pak:DST_CITYMAP_WESTCITY | tbl:tbl1.pak:0x01807F4E | tbl:tbl1.pak:0x0180B93E | tbl:tbl1.pak:0x0180CFF8 | tbl:tbl1.pak:0x01876D64 | tbl:tbl1.pak:0x01879136	
Attack	1b81f28b5afb	5	2	lang0,tbl	lang0:lang0.pak:DST_DWC_CARD_TARGET_TOOLTIP | lang0:lang0.pak:DST_DWC_STATE_PLAY | lang0:lang0.pak:DST_STATUS_ATTACK | tbl:tbl1.pak:0x016557A7 | tbl:tbl1.pak:0x018603D3	攻击 [lang0:lang0.pak:DST_STATUS_ATTACK]
Class Change	607aa2519cf0	5	2	lang0,tbl	lang0:lang0.pak:DST_QUEST_CAT_JOBCHANGE | lang0:lang0.pak:DST_SIDEICON_HINT_CLASS_CHANGE_TITLE | tbl:tbl1.pak:0x0186BAD2 | tbl:tbl1.pak:0x01654221 | tbl:tbl1.pak:0x01862E41	
Dragon Ball	0e9922e6dc1a	5	2	lang0,tbl	lang0:lang0.pak:DST_QUEST_CAT_DRAGONBALL | lang0:lang0.pak:DST_REVERTED_DRAGONBALL | tbl:tbl1.pak:0x0186264B | tbl:tbl1.pak:0x018626DD | tbl:tbl1.pak:0x018682AB	
Dungeon Manager	0080ea2b9dcc	5	2	lang0,tbl	lang0:lang0.pak:DST_JOB_BATTLE_DUNGEON_MANAGER | tbl:tbl1.pak:0x0172DD3C | tbl:tbl1.pak:0x0172DE00 | tbl:tbl1.pak:0x0172DE24 | tbl:tbl1.pak:0x0172DE48	副本管理机 [lang0:lang0.pak:DST_JOB_BATTLE_DUNGEON_MANAGER]
HTB	cb1f83348587	5	2	lang0,taiwan	taiwan:local_data.dat:DST_SKILL_FILTER_HTB | taiwan:local_data.dat:DST_SKILL_TYPE_HTB | taiwan:table_text_all_data.rdf:13:8015:0 | lang0:lang0.pak:DST_SKILL_FILTER_HTB | lang0:lang0.pak:DST_SKILL_TYPE_HTB	
Item Upgrade	9bef00c25758	5	2	lang0,tbl	lang0:lang0.pak:DST_ITEMUPGRADE_EX_TITLE | lang0:lang0.pak:DST_MULTIDIALOG_MENU_UPGRADE | lang0:lang0.pak:DST_MULTIDIALOG_MENU_UPGRADEEX | tbl:tbl1.pak:0x0186BBC2 | tbl:tbl1.pak:0x01862787	装备强化 [lang0:lang0.pak:DST_MULTIDIALOG_MENU_UPGRADE]
LV.%d	6276de95ae30	5	2	lang0,taiwan	taiwan:local_data.dat:DST_PARTY_MATCHING_DETAIL_INFO_LEVEL | lang0:lang0.pak:DST_ITEM_EQUIP_LEVEL_TEXT | lang0:lang0.pak:DST_ITEM_USE_ITEM_LEVEL_TEXT | lang0:lang0.pak:DST_RB_LEVEL | lang0:lang0.pak:DST_SKILL_LEARN_LEVEL	Lv.%d [lang0:lang0.pak:DST_ITEM_EQUIP_LEVEL_TEXT]
Martial Artist	ae1c7a317ba2	5	2	lang0,tbl	lang0:lang0.pak:DST_HUMAN_FIGHTER | tbl:tbl1.pak:0x01722054 | tbl:tbl1.pak:0x01722076 | tbl:tbl1.pak:0x0186BAF0 | tbl:tbl1.pak:0x01862EAD	武道家 [lang0:lang0.pak:DST_HUMAN_FIGHTER]
Material	d8169782b57c	5	2	lang0,tbl	lang0:lang0.pak:DST_MARKET_STUFF | tbl:tbl1.pak:0x016C3630 | tbl:tbl1.pak:0x016C5514 | tbl:tbl1.pak:0x016C5F8E | tbl:tbl1.pak:0x016C9802	材料 [lang0:lang0.pak:DST_MARKET_STUFF]
Mighty Majin	5873eace4c5e	5	2	lang0,tbl	lang0:lang0.pak:DST_MIGHTY_MAJIN | tbl:tbl1.pak:0x016C40F0 | tbl:tbl1.pak:0x016C410E | tbl:tbl1.pak:0x0186BB60 | tbl:tbl1.pak:0x01862F03	大魔人 [lang0:lang0.pak:DST_MIGHTY_MAJIN]
Options	6bf5da9c080b	5	2	lang0,tbl	lang0:lang0.pak:DST_MAINMENU_OPTION | lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_OPTION | lang0:lang0.pak:DST_OPTION_TITLE | lang0:lang0.pak:DST_PARTYGUI_SWITCH | tbl:tbl1.pak:0x01867E9F	选项 [lang0:lang0.pak:DST_MAINMENU_OPTION] | 选项 [lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_OPTION] | 选项 [lang0:lang0.pak:DST_OPTION_TITLE]
Porunga Rocks	333dcdae292d	5	2	lang0,tbl	lang0:lang0.pak:DST_WORLDMAP_PORUNGAROCKS | tbl:tbl1.pak:0x01809320 | tbl:tbl1.pak:0x0180ADCE | tbl:tbl1.pak:0x018767FA | tbl:tbl1.pak:0x018787B2	
Rare	cce370d2f978	5	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_CARD_GRADE_04 | lang0:lang0.pak:DST_DWC_CARD_GRADE_04 | lang0:lang0.pak:DST_ITEM_GRADE_RARE | lang0:lang0.pak:DST_MARKET_RARETYPE | lang0:lang0.pak:DST_OPTION_DROPFILTER_RARE	稀有 [taiwan:local_data.dat:DST_DWC_CARD_GRADE_04] | 稀有 [lang0:lang0.pak:DST_ITEM_GRADE_RARE] | 稀有 [lang0:lang0.pak:DST_OPTION_DROPFILTER_RARE] | 稀有 [lang0:lang0.pak:DST_MARKET_RARETYPE]
System	bc0792d8dc81	5	2	lang0,tbl	lang0:lang0.pak:DST_CHAT_MODE_SYSTEM | lang0:lang0.pak:DST_OPTION_CHATTING_ADDED_SYSTEM | lang0:lang0.pak:DST_OPTION_CHATTING_BASIC_SYSTEM | lang0:lang0.pak:DST_OPTION_TAB_SYSTEM | tbl:tbl1.pak:0x01867EB3	系统 [lang0:lang0.pak:DST_OPTION_CHATTING_ADDED_SYSTEM] | 系统 [lang0:lang0.pak:DST_OPTION_CHATTING_BASIC_SYSTEM] | 系统 [lang0:lang0.pak:DST_OPTION_TAB_SYSTEM]
Tenkaichi Budokai	67970339aafc	5	2	lang0,tbl	lang0:lang0.pak:DST_BUDOKAI_SIDEICON_TITLE | lang0:lang0.pak:DST_TELEPORT_TYPE_BUDOKAI | lang0:lang0.pak:DST_WORLDMAP_SEARCH_NPC_RECEPTION | tbl:tbl1.pak:0x0186BFC4 | tbl:tbl1.pak:0x018626B5	
Westland	b6951065da77	5	2	lang0,tbl	lang0:lang0.pak:DST_WORLDMAP_WESTLAND | tbl:tbl1.pak:0x0180B5A6 | tbl:tbl1.pak:0x018763D0 | tbl:tbl1.pak:0x01876AC8 | tbl:tbl1.pak:0x01876ADE	
%d/%d	34ccdd81c294	4	2	lang0,taiwan	taiwan:local_data.dat:DST_PARTY_MATCHING_LIST_MEMBER_COUNT | taiwan:local_data.dat:DST_PARTY_MATCHING_LIST_PAGE_COUNT | lang0:lang0.pak:DST_PARTY_MATCHING_LIST_MEMBER_COUNT | lang0:lang0.pak:DST_PARTY_MATCHING_LIST_PAGE_COUNT	
%s Zeni	d89500f73efb	4	2	lang0,taiwan	taiwan:local_data.dat:DST_DROPITEM_ZENNY | lang0:lang0.pak:DST_DROPITEM_ZENNY | lang0:lang0.pak:DST_INFOWINDOW_ZENNY | lang0:lang0.pak:DST_QUESTREWARD_INFO_ZENNY	%s索尼 [taiwan:local_data.dat:DST_DROPITEM_ZENNY] | %s 索 [lang0:lang0.pak:DST_INFOWINDOW_ZENNY]
%s%%	0291105af6e4	4	2	lang0,taiwan	taiwan:local_data.dat:DST_SUMMER_VACATION_EVENT_SIDEVIEW_PERCENTAGE | taiwan:local_data.dat:DST_DYNAMIC_FIELD_SIDEVIEW_PERCENTAGE | lang0:lang0.pak:DST_DYNAMIC_FIELD_SIDEVIEW_PERCENTAGE | lang0:lang0.pak:DST_SUMMER_VACATION_EVENT_SIDEVIEW_PERCENTAGE	
/c 	5a10b3dd97ac	4	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_SHORT_CUT_GUILD_LOCAL_NOTIFY | taiwan:local_data.dat:DST_CHAT_SHORT_CUT_GUILD_NOTIFY | lang0:lang0.pak:DST_CHAT_SHORT_CUT_GUILD_LOCAL_NOTIFY | lang0:lang0.pak:DST_CHAT_SHORT_CUT_GUILD_NOTIFY	
/f	e7f5e8efe19b	4	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_SHORT_CUT_FIND_PARTY_LOCAL | taiwan:local_data.dat:DST_CHAT_SHORT_CUT_FIND_PARTY | lang0:lang0.pak:DST_CHAT_SHORT_CUT_FIND_PARTY | lang0:lang0.pak:DST_CHAT_SHORT_CUT_FIND_PARTY_LOCAL	
/g	896568dae4be	4	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_SHORT_CUT_GUILD_LOCAL | taiwan:local_data.dat:DST_CHAT_SHORT_CUT_GUILD | lang0:lang0.pak:DST_CHAT_SHORT_CUT_GUILD | lang0:lang0.pak:DST_CHAT_SHORT_CUT_GUILD_LOCAL	
/n	5dd39fbeb802	4	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_SHORT_CUT_GENERAL_LOCAL | taiwan:local_data.dat:DST_CHAT_SHORT_CUT_GENERAL | lang0:lang0.pak:DST_CHAT_SHORT_CUT_GENERAL | lang0:lang0.pak:DST_CHAT_SHORT_CUT_GENERAL_LOCAL	
/p	ca85a389d362	4	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_SHORT_CUT_PARTY_LOCAL | taiwan:local_data.dat:DST_CHAT_SHORT_CUT_PARTY | lang0:lang0.pak:DST_CHAT_SHORT_CUT_PARTY | lang0:lang0.pak:DST_CHAT_SHORT_CUT_PARTY_LOCAL	
/r	ccd2a96ebe41	4	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_SHORT_CUT_LAST_WHISPER_USER_LOCAL | taiwan:local_data.dat:DST_CHAT_SHORT_CUT_LAST_WHISPER_USER | lang0:lang0.pak:DST_CHAT_SHORT_CUT_LAST_WHISPER_USER | lang0:lang0.pak:DST_CHAT_SHORT_CUT_LAST_WHISPER_USER_LOCAL	
/s	f9b05e880934	4	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_SHORT_CUT_SHOUT_LOCAL | taiwan:local_data.dat:DST_CHAT_SHORT_CUT_SHOUT | lang0:lang0.pak:DST_CHAT_SHORT_CUT_SHOUT | lang0:lang0.pak:DST_CHAT_SHORT_CUT_SHOUT_LOCAL	
/t	c911669a1fb5	4	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_SHORT_CUT_TRADE_LOCAL | taiwan:local_data.dat:DST_CHAT_SHORT_CUT_TRADE | lang0:lang0.pak:DST_CHAT_SHORT_CUT_TRADE | lang0:lang0.pak:DST_CHAT_SHORT_CUT_TRADE_LOCAL	
/w	71a0bcb0142e	4	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_SHORT_CUT_WHISPER_LOCAL | taiwan:local_data.dat:DST_CHAT_SHORT_CUT_WHISPER | lang0:lang0.pak:DST_CHAT_SHORT_CUT_WHISPER | lang0:lang0.pak:DST_CHAT_SHORT_CUT_WHISPER_LOCAL	
/z 	a88582796112	4	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_SHORT_CUT_PARTY_LOCAL_NOTIFY | taiwan:local_data.dat:DST_CHAT_SHORT_CUT_PARTY_NOTIFY | lang0:lang0.pak:DST_CHAT_SHORT_CUT_PARTY_LOCAL_NOTIFY | lang0:lang0.pak:DST_CHAT_SHORT_CUT_PARTY_NOTIFY	
Common	7de90a65241a	4	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_DWC_CARD_GRADE_01 | lang0:lang0.pak:DST_DWC_CARD_GRADE_01 | lang0:lang0.pak:DST_OPTION_CHATTING_TITLE_COMMON | tbl:tbl1.pak:0x011AC267	通用 [lang0:lang0.pak:DST_OPTION_CHATTING_TITLE_COMMON]
Dogi	8a3cbc4a85de	4	2	lang0,taiwan	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_DOGI | taiwan:table_text_all_data.rdf:4:6001533:0 | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_DOGI | lang0:lang0.pak:DST_SEWING_KIT_SLOT_COSTUME	时装 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_DOGI]
Dragon World Challenge	5217d871e2ad	4	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_MAIN_TITLE | taiwan:local_data.dat:DST_DWC_TITLE | lang0:lang0.pak:DST_DWC_MAIN_TITLE | lang0:lang0.pak:DST_DWC_TITLE	
Event Coin	f5c70ee5becb	4	2	lang0,tbl	lang0:lang0.pak:DST_HLS_HAVE_EVENTCOIN | tbl:tbl1.pak:0x016843A9 | tbl:tbl1.pak:0x01684421 | tbl:tbl1.pak:0x01685273	
Failed	09fef5d8d9a3	4	2	lang0,tbl	lang0:lang0.pak:DST_QUESTLIST_TIP_FAILD_QUEST | lang0:lang0.pak:DST_RB_SIDE_ENTER_FAIL | lang0:lang0.pak:GAME_CLOSED_BOX_FAIL | tbl:tbl0.pak:0x00D5D7ED	
Fran Fran Desert North	f4139266d3a5	4	2	lang0,tbl	lang0:lang0.pak:DST_WORLDMAP_FRANGFRANG | tbl:tbl1.pak:0x0180A6DC | tbl:tbl1.pak:0x01876738 | tbl:tbl1.pak:0x01876A96	
GBT-Hope01	d0d24009b5ad	4	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2413101:0 | tbl:tbl1.pak:0x00514912 | tbl:tbl1.pak:0x00669F56 | tbl:tbl1.pak:0x017274CE	
General	9239ee2cda84	4	3	lang0,taiwan,tbl	taiwan:table_text_all_data.rdf:13:1000:0 | lang0:lang0.pak:DST_STATUS_TECHNIC_HOIPOIMIX_NORMAL_SKILL | tbl:tbl1.pak:0x018602BF | tbl:tbl1.pak:0x01867EC5	将军 [taiwan:table_text_all_data.rdf:13:1000:0]
Giant Insect	e1abf6e2801d	4	2	taiwan,tbl	taiwan:table_text_all_data.rdf:5:12131020:0 | taiwan:table_text_all_data.rdf:5:12131022:0 | tbl:tbl1.pak:0x0170AC8D | tbl:tbl1.pak:0x0170ACC1	
HoiPoi Mine	6f5afbb40c26	4	2	lang0,tbl	lang0:lang0.pak:DST_CITYMAP_DEADMINE | tbl:tbl1.pak:0x0180D02E | tbl:tbl1.pak:0x01879344 | tbl:tbl1.pak:0x01865C89	
HoiPoi Mix	3e1be5449f37	4	2	lang0,tbl	lang0:lang0.pak:DST_HOIPOIMIX_GUI_TITLE | lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_HOIPOIMIX | lang0:lang0.pak:DST_STATUS_TECHNIC_HOIPOIMIX_TITLE | tbl:tbl1.pak:0x0186BD00	合成 [lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_HOIPOIMIX]
KnightZ Earing A Type	70db1d8bd580	4	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:10111215:0 | tbl:tbl0.pak:0x00E438B9 | tbl:tbl0.pak:0x00E48BD9 | tbl:tbl1.pak:0x015A9C63	
KnightZ Necklace	6a3ef3ab9899	4	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:10111217:0 | tbl:tbl0.pak:0x00E43BB1 | tbl:tbl0.pak:0x00E48ED1 | tbl:tbl1.pak:0x015A9CC3	
KnightZ Ring Type A	47fb1bc9fca0	4	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:10111213:0 | tbl:tbl0.pak:0x00E432C9 | tbl:tbl0.pak:0x00E488E1 | tbl:tbl1.pak:0x015A9C0B	
Leader	e26c936bbeca	4	2	lang0,tbl	lang0:lang0.pak:DST_BUDOKAI_TEAMINFO_DOJO_RECOMMAND | lang0:lang0.pak:DST_PARTYGUI_PARTYLEADER | lang0:lang0.pak:DST_PARTY_MATCHING_DETAIL_INFO_PARTY_LEADER | tbl:tbl1.pak:0x018628EB	
Locked	a798882f1c31	4	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_STATE_LOCK | lang0:lang0.pak:DST_DWC_STATE_LOCK | lang0:lang0.pak:DST_LOBBY_SERVER_LOCK | lang0:lang0.pak:GAME_PETITION_LOCK	锁定 [lang0:lang0.pak:DST_LOBBY_SERVER_LOCK]
Mailbox	2f5c26f8354e	4	2	lang0,tbl	lang0:lang0.pak:DST_MAILSYSTEM_MAILBOX | tbl:tbl1.pak:0x0172174C | tbl:tbl1.pak:0x0181CAEB | tbl:tbl1.pak:0x018681DB	邮箱 [lang0:lang0.pak:DST_MAILSYSTEM_MAILBOX]
Minimap	03000e5d5a47	4	2	lang0,tbl	lang0:lang0.pak:DST_MINIMAP_SHOW_MINIMAP | lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_MINIMAP | tbl:tbl1.pak:0x01860323 | tbl:tbl1.pak:0x01866FB9	小地图 [lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_MINIMAP]
MWO Newbi HTB	034dc8d6c480	4	2	taiwan,tbl	taiwan:table_text_all_data.rdf:2:6300110:0 | taiwan:table_text_all_data.rdf:2:6300111:0 | tbl:tbl1.pak:0x012D0C86 | tbl:tbl1.pak:0x012D0CA6	
Necklace	200b37cbaa9c	4	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_NECKLACE | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_NECKLACE | tbl:tbl1.pak:0x01863479 | tbl:tbl1.pak:0x0186F357	项链 [taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_NECKLACE] | 项链 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_NECKLACE]
